Ffurf safonol,Ffurf safonol arall ,Ffurf Saesneg,Cyfeirnod grid,Math (Cymraeg),Math (Saesneg),Awdurdod lleol (Cymraeg),Awdurdod lleol (Saesneg)
Llangynydd,,Llangennith,SS4291,Anheddiad,,Abertawe,Swansea
Llangynyw,,Llangynyw,SJ1208,Anheddiad,,Powys,Powys
Llangystennin,,Llangystennin,SH8279,Anheddiad,,Conwy,Conwy
Llangywer,,Llangywer,SH9032,Anheddiad,,Gwynedd,Gwynedd
Llanhamlach,,Llanhamlach,SO0926,Anheddiad,,Powys,Powys
Llanharan,,Llanharan,ST0083,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Llanhari,,Llanharry,ST0080,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Llanhenwg,,Llanhenwg,ST3592,Anheddiad,,Sir Fynwy,Monmouthshire
Llanhiledd,,Llanhilleth,SO2101,Anheddiad,,Caerffili,Caerphilly
Llanhuadain,,Llawhaden,SN0617,Anheddiad,,Sir Benfro,Pembrokeshire
Llanhywel,,Llanhywel,SM8127,Anheddiad,,Sir Benfro,Pembrokeshire
Llanidan,,Llanidan,SH4966,Nodwedd o waith dyn,,Ynys Môn,Isle of Anglesey
Llanidloes,,Llanidloes,SN9584,Anheddiad,,Powys,Powys
Llaniestyn,,Llaniestyn,SH2733,Anheddiad,,Gwynedd,Gwynedd
Llaniestyn,,Llaniestyn,SH5879,Anheddiad,,Ynys Môn,Isle of Anglesey
Llanigon,,Llanigon,SO2140,Anheddiad,,Powys,Powys
Llanilar,,Llanilar,SN6275,Anheddiad,,Ceredigion,Ceredigion
Llanilid,,Llanilid,SS9781,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Llanilltud Faerdref,,Llantwit Fardre,ST0784,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Llanilltud Fawr,,Llantwit Major,SS9768,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Llanilltud Gŵyr,,Ilston,SS5590,Anheddiad,,Abertawe,Swansea
Llanio,,Llanio,SN6457,Anheddiad,,Ceredigion,Ceredigion
Llanion,,Llanion,SM9703,Anheddiad,,Sir Benfro,Pembrokeshire
Llanisan-yn-Rhos,,St Ishmaels,SM8307,Anheddiad,,Sir Benfro,Pembrokeshire
Llanisien,,Llanisien,SO4703,Anheddiad,,Sir Fynwy,Monmouthshire
Llanisien,,Llanishen,ST1781,Anheddiad,,Caerdydd,Cardiff
Llaniwared,,Llaniwared,SN8877,Ardal,,Powys,Powys
Llanllawddog,,Llanllawddog,SN4529,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Llanllawer,,Llanllawer,SM9836,Anheddiad,,Sir Benfro,Pembrokeshire
Llanllechid,,Llanllechid,SH6268,Anheddiad,,Gwynedd,Gwynedd
Llanlleiana,,Llanlleiana,SH3894,Anheddiad,,Ynys Môn,Isle of Anglesey
Llanllugan,,Llanllugan,SJ0502,Anheddiad,,Powys,Powys
Llan-llwch,,Llan-llwch,SN3818,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Llanllwchaearn,,Llanllwchaearn,SO1192,Anheddiad,,Powys,Powys
Llanllwni,,Llanllwni,SN4939,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Llanllyfni,,Llanllyfni,SH4751,Anheddiad,,Gwynedd,Gwynedd
Llanllŷr,,Llanyre,SO0462,Anheddiad,,Powys,Powys
Llanllywel,,Llanllywel,ST3998,Anheddiad,,Sir Fynwy,Monmouthshire
Llan-lwy,,Llandeloy,SM8526,Anheddiad,,Sir Benfro,Pembrokeshire
Llanmadog,,Llanmadog,SS4493,Anheddiad,,Abertawe,Swansea
Llanmerewig,,Llanmerewig,SO1592,Anheddiad,,Powys,Powys
Llanmill,,Llanmill,SN1414,Anheddiad,,Sir Benfro,Pembrokeshire
Llanmilo,,Llanmilo,SN2508,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Llanmorlais,,Llanmorlais,SS5394,Anheddiad,,Abertawe,Swansea
Llannarth,,Llannarth,SN4257,Anheddiad,,Ceredigion,Ceredigion
Llannerch Aeron,,Llannerch Aeron,SN4760,Ardal,,Ceredigion,Ceredigion
Llannerch Banna,,Penley,SJ4139,Anheddiad,,Wrecsam,Wrexham
Llannerch Emrys,,Llannerch Emrys,SJ2023,Anheddiad,,Powys,Powys
Llannerchfydaf,,Llannerchfydaf,SH9017,Ardal,,Gwynedd,Gwynedd
Llannerch-y-medd,,Llannerch-y-medd,SH4184,Anheddiad,,Ynys Môn,Isle of Anglesey
Llannerch-y-môr,,Llannerch-y-môr,SJ1779,Anheddiad,,Sir y Fflint,Flintshire
Llannewydd,,Newchurch,SO2150,Anheddiad,,Powys,Powys
Llannewydd,,Newchurch,SN3824,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Llan-non,,Llan-non,SN5167,Anheddiad,,Ceredigion,Ceredigion
Llan-non,,Llan-non,SN5308,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Llannor,,Llannor,SH3537,Anheddiad,,Gwynedd,Gwynedd
Llanofer,,Llanofer,SO3108,Anheddiad,,Sir Fynwy,Monmouthshire
Llanofer Uchaf,,Upper Llanofer,SO2907,Ardal,,Sir Fynwy,Monmouthshire
Llanpumsaint,,Llanpumsaint,SN4129,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Llanreath,,Llanreath,SM9503,Anheddiad,,Sir Benfro,Pembrokeshire
Llanrhaeadr-ym-Mochnant,,Llanrhaeadr-ym-Mochnant,SJ1226,Anheddiad,,Powys,Powys
Llanrhaeadr-yng-Nghinmeirch,,Llanrhaeadr-yng-Nghinmeirch,SJ0863,Anheddiad,,Sir Ddinbych,Denbighshire
Llanrhian,,Llanrhian,SM8131,Anheddiad,,Sir Benfro,Pembrokeshire
Llanrhidian,,Llanrhidian,SS4992,Anheddiad,,Abertawe,Swansea
Llan-rhos,,Llan-rhos,SH7880,Anheddiad,,Conwy,Conwy
Llanrhuddlad,,Llanrhuddlad,SH3389,Anheddiad,,Ynys Môn,Isle of Anglesey
Llanrhychwyn,,Llanrhychwyn,SH7761,Anheddiad,,Conwy,Conwy
Llanrhymni,,Llanrumney,ST2280,Anheddiad,,Caerdydd,Cardiff
Llanrhystud,,Llanrhystud,SN5369,Anheddiad,,Ceredigion,Ceredigion
Llanrug,,Llanrug,SH5363,Anheddiad,,Gwynedd,Gwynedd
Llanrwst,,Llanrwst,SH8061,Anheddiad,,Conwy,Conwy
Llansadwrn,,Llansadwrn,SH5576,Anheddiad,,Ynys Môn,Isle of Anglesey
Llansadwrn,,Llansadwrn,SN6931,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Llansadyrnin,,Llansadyrnin,SN2810,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Llan-saint,,Llan-saint,SN3808,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Llansamlet,,Llansamlet,SS6897,Anheddiad,,Abertawe,Swansea
Llansanffraid,,Llansanffraid,SN5167,Anheddiad,,Ceredigion,Ceredigion
Llansanffraid,,Llansanffraid,SO1223,Anheddiad,,Powys,Powys
Llansanffraid Cwmteuddwr,,Llansanffraid Cwmteuddwr,SN9667,Anheddiad,,Powys,Powys
Llansanffraid Glan Conwy,,Llansanffraid Glan Conwy,SH8075,Anheddiad,,Conwy,Conwy
Llansanffraid Gwynllŵg,,St Brides Wentloog,ST2982,Anheddiad,,Casnewydd,Newport
Llansanffraid-ar-Elái,,St Brides-super-Ely,ST0977,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Llansanffraid-ar-Ogwr,,St Brides Minor,SS9184,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Llansanffraid-ym-Mechain,,Llansanffraid-ym-Mechain,SJ2120,Anheddiad,,Powys,Powys
Llansannan,,Llansannan,SH9365,Anheddiad,,Conwy,Conwy
Llansansiôr,,St George,SH9775,Anheddiad,,Conwy,Conwy
Llansanwyr,,Llansannor,SS9977,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Llansawel,,Llansawel,SN6136,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Llansawel,,Briton Ferry,SS7394,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Llansbyddid,,Llansbyddid,SO0128,Anheddiad,,Powys,Powys
Llansilin,,Llansilin,SJ2028,Anheddiad,,Powys,Powys
Llan-soe,,Llan-soe,SO4402,Anheddiad,,Sir Fynwy,Monmouthshire
Llanstadwel,,Llanstadwel,SM9405,Anheddiad,,Sir Benfro,Pembrokeshire
Llansteffan,,Llansteffan,SN3510,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Llansteffan,,Llansteffan,SO1242,Anheddiad,,Powys,Powys
Llantarnam,,Llantarnam,ST3093,Anheddiad,,Torfaen,Torfaen
Llanteems,,Llanteems,SO3320,Anheddiad,,Sir Fynwy,Monmouthshire
Llantriddyd,,Llantriddyd,ST0472,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Llantrisant,,Llantrisant,SH3683,Anheddiad,,Ynys Môn,Isle of Anglesey
Llantrisant,,Llantrisant,ST3996,Anheddiad,,Sir Fynwy,Monmouthshire
Llantrisant,,Llantrisant,ST0483,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Llantwd,,Llantood,SN1541,Anheddiad,,Sir Benfro,Pembrokeshire
Llanuwchllyn,,Llanuwchllyn,SH8730,Anheddiad,,Gwynedd,Gwynedd
Llanwarw,,Wonastow,SO4810,Anheddiad,,Sir Fynwy,Monmouthshire
Llanwddyn,,Llanwddyn,SJ0219,Anheddiad,,Powys,Powys
Llanwenarth,,Llanwenarth,SO2714,Anheddiad,,Sir Fynwy,Monmouthshire
Llanwenog,,Llanwenog,SN4945,Anheddiad,,Ceredigion,Ceredigion
Llan-wern,,Llan-wern,ST3688,Anheddiad,,Casnewydd,Newport
Llanwinio,,Llanwinio,SN2626,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Llanwnda,,Llanwnda,SH4758,Anheddiad,,Gwynedd,Gwynedd
Llanwnda,,Llanwnda,SM9339,Anheddiad,,Sir Benfro,Pembrokeshire
Llanwnnen,,Llanwnnen,SN5347,Anheddiad,,Ceredigion,Ceredigion
Llanwnnog,,Llanwnnog,SO0293,Anheddiad,,Powys,Powys
Llanwrda,,Llanwrda,SN7131,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Llanwrin,,Llanwrin,SH7803,Anheddiad,,Powys,Powys
Llanwrthwl,,Llanwrthwl,SN9763,Anheddiad,,Powys,Powys
Llanwrtyd,,Llanwrtyd Wells,SN8746,Anheddiad,,Powys,Powys
Llanwyddelan,,Llanwyddelan,SJ0701,Anheddiad,,Powys,Powys
Llanwynell,,Wolvesnewton,ST4599,Anheddiad,,Sir Fynwy,Monmouthshire
Llanwynno,,Llanwynno,ST0395,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Llanwytherin,,Llanvetherine,SO3617,Anheddiad,,Sir Fynwy,Monmouthshire
Llan-y-bri,,Llan-y-bri,SN3312,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Llanybydder,,Llanybydder,SN5244,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Llan-y-cefn,,Llan-y-cefn,SN0923,Anheddiad,,Sir Benfro,Pembrokeshire
Llanychâr,,Llanychâr,SM9835,Anheddiad,,Sir Benfro,Pembrokeshire
Llanycil,,Llanycil,SH9134,Anheddiad,,Gwynedd,Gwynedd
Llan-y-crwys,,Llan-y-crwys,SN6245,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Llanymawddwy,,Llanymawddwy,SH9019,Anheddiad,,Gwynedd,Gwynedd
Llanymddyfri,,Llandovery,SN7634,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Llanymynech,,Llanymynech,SJ2620,Anheddiad,,Powys,Powys
Llanynghenedl,,Llanynghenedl,SH3181,Anheddiad,,Ynys Môn,Isle of Anglesey
Llanynys,,Llanynys,SJ1062,Anheddiad,,Sir Ddinbych,Denbighshire
Llan-y-pwll,,Llan-y-pwll,SJ3751,Anheddiad,,Wrecsam,Wrexham
Llanyrafon,,Llanyrafon,ST3094,Anheddiad,,Torfaen,Torfaen
Llanystumdwy,,Llanystumdwy,SH4738,Anheddiad,,Gwynedd,Gwynedd
Llan-y-tair-mair,,Knelston,SS4688,Anheddiad,,Abertawe,Swansea
Llan-y-wern,,Llan-y-wern,SO1028,Anheddiad,,Powys,Powys
Llawndy,,Llawndy,SJ1183,Anheddiad,,Sir y Fflint,Flintshire
Llawr-y-glyn,,Llawr-y-glyn,SN9391,Anheddiad,,Powys,Powys
Llecheiddior,,Llecheiddior,SH4743,Ardal,,Gwynedd,Gwynedd
Llechgynfarwy,,Llechgynfarwy,SH3881,Anheddiad,,Ynys Môn,Isle of Anglesey
Llechryd,,Llechryd,SN2143,Anheddiad,,Ceredigion,Ceredigion
Llechryd,,Llechryd,SO1009,Anheddiad,,Caerffili,Caerphilly
Llechylched,,Llechylched,SH3476,Anheddiad,,Ynys Môn,Isle of Anglesey
Lledrod,,Lledrod,SJ2229,Nodwedd o waith dyn,,Powys,Powys
Lledrod,,Lledrod,SN6470,Anheddiad,,Ceredigion,Ceredigion
Llethryd,,Llethryd,SS5391,Ardal,,Abertawe,Swansea
Lletybrongu,,Lletybrongu,SS8789,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Llidiadnennog,,Llidiadnennog,SN5437,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Llidiard,,Litchard,SS9081,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Llidiardau,,Llidiardau,SH8738,Ardal,,Gwynedd,Gwynedd
Llidiart Annie,,Llidiart Annie,SJ1844,Anheddiad,,Sir Ddinbych,Denbighshire
Llidiart y Barwn,,Llidiart y Barwn,SH9012,Nodwedd tir,,Gwynedd,Gwynedd
Llidiart-y-parc,,Llidiart-y-parc,SJ1143,Anheddiad,,Sir Ddinbych,Denbighshire
Llithfaen,,Llithfaen,SH3543,Anheddiad,,Gwynedd,Gwynedd
Lloc,,Lloc,SJ1476,Anheddiad,,Sir y Fflint,Flintshire
Llong,,Llong,SJ2662,Anheddiad,,Sir y Fflint,Flintshire
Llowes,,Llowes,SO1941,Anheddiad,,Powys,Powys
Llundain-fach,,Llundain-fach,SN5556,Anheddiad,,Ceredigion,Ceredigion
Llwydcoed,,Llwydcoed,SN9904,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Llwynbedw,,Birchgrove,ST1680,Anheddiad,,Caerdydd,Cardiff
Llwyncelyn,,Hollybush,SO1603,Anheddiad,,Caerffili,Caerphilly
Llwyncelyn,,Llwyncelyn,SN2042,Anheddiad,,Sir Benfro,Pembrokeshire
Llwyncelyn,,Llwyncelyn,SN4459,Anheddiad,,Ceredigion,Ceredigion
Llwyncelyn,,Llwyncelyn,ST0391,Ardal,,Rhondda Cynon Taf,Rhondda Cynon Taf
Llwyncelyn,,Llwyncelyn,ST3594,Anheddiad,,Sir Fynwy,Monmouthshire
Llwyndafydd,,Llwyndafydd,SN3755,Anheddiad,,Ceredigion,Ceredigion
Llwynderw,,Llwynderw,SJ2003,Anheddiad,,Powys,Powys
Llwyn-drain,,Llwyn-drain,SN2634,Anheddiad,,Sir Benfro,Pembrokeshire
Llwyn-du,,Llwyn-du,SO2815,Anheddiad,,Sir Fynwy,Monmouthshire
Llwyndyrys,,Llwyndyrys,SH3741,Anheddiad,,Gwynedd,Gwynedd
Llwyneinion,,Llwyneinion,SJ2847,Anheddiad,,Wrecsam,Wrexham
Llwyneliddon,,St Lythans,ST1072,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Llwyn-gwern,,Llwyn-gwern,SH7504,Nodwedd tir,,Powys,Powys
Llwyngwril,,Llwyngwril,SH5909,Anheddiad,,Gwynedd,Gwynedd
Llwynhelyg,,Withybush,SM9617,Anheddiad,,Sir Benfro,Pembrokeshire
Llwynhendy,,Llwynhendy,SS5499,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Llwynhudol,,Llwynhudol,SH3836,Anheddiad,,Gwynedd,Gwynedd
Llwyni,,Lloyney,SO2475,Anheddiad,,Powys,Powys
Llwyn-mawr,,Llwyn-mawr,SJ2237,Anheddiad,,Wrecsam,Wrexham
Llwyn-onn,,Llwyn-onn,SO0111,Anheddiad,,Merthyr Tudful,Merthyr Tydfil
Llwyn-onn,,Llwyn-onn,SJ3549,Anheddiad,,Wrecsam,Wrexham
Llwyn-teg,,Llwyn-teg,SN5508,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Llwyn-y-brain,,Llwyn-y-brain,SN7432,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Llwyn-y-gog,,Llwyn-y-gog,SN8792,Anheddiad,,Powys,Powys
Llwyn-y-groes,,Llwyn-y-groes,SN5956,Anheddiad,,Ceredigion,Ceredigion
Llwynypia,,Llwynypia,SS9993,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Llwyn-yr-hwrdd,,Llwyn-yr-hwrdd,SN2232,Ardal,,Sir Benfro,Pembrokeshire
Llyfanod,,Llyfanod,SJ1473,Anheddiad,,Sir y Fflint,Flintshire
Llynfaes,,Llynfaes,SH4078,Anheddiad,,Ynys Môn,Isle of Anglesey
Llynpenmaen,,Penmaen-pŵl,SH6918,Anheddiad,,Gwynedd,Gwynedd
Llynypandy,,Llynypandy,SJ2065,Anheddiad,,Sir y Fflint,Flintshire
Llysfaen,,Llysfaen,SH8877,Anheddiad,,Conwy,Conwy
Llys-faen,,Lisvane,ST1883,Anheddiad,,Caerdydd,Cardiff
Llys-wen,,Llys-wen,SO1337,Anheddiad,,Powys,Powys
Llyswyrny,,Llysworney,SS9674,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Llyswyry,,Lliswerry,ST3487,Anheddiad,,Casnewydd,Newport
Llys-y-frân,,Llys-y-frân,SN0424,Anheddiad,,Sir Benfro,Pembrokeshire
Llywel,,Llywel,SN8730,Anheddiad,,Powys,Powys
Llywernog,,Llywernog,SN7380,Anheddiad,,Ceredigion,Ceredigion
Lochfân,,Lochvane,SM8223,Anheddiad,,Sir Benfro,Pembrokeshire
Lock's Common,,Lock's Common,SS8077,Ardal,,Pen-y-bont ar Ogwr,Bridgend
Loggerheads,,Loggerheads,SJ1862,Anheddiad,,Sir Ddinbych,Denbighshire
Login,,Login,SN1623,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Lôn-las,,Lôn-las,SS7097,Ardal,,Abertawe,Swansea
Loveston,,Loveston,SN0808,Anheddiad,,Sir Benfro,Pembrokeshire
Lower Common,,Lower Common,SO2415,Ardal,,Blaenau Gwent,Blaenau Gwent
Lower Freystrop,,Lower Freystrop,SM9512,Anheddiad,,Sir Benfro,Pembrokeshire
Lowlands,,Lowlands,ST2996,Anheddiad,,Torfaen,Torfaen
Lunnon,,Lunnon,SS5489,Anheddiad,,Abertawe,Swansea
Lydart,,Lydart,SO5009,Anheddiad,,Sir Fynwy,Monmouthshire
Lydstep,,Lydstep,SS0898,Anheddiad,,Sir Benfro,Pembrokeshire
Machen,,Machen,ST2189-2288,Anheddiad,,Caerffili,Caerphilly
Machen Isaf,,Lower Machen,ST2288,Anheddiad,,Casnewydd,Newport
Machroes,,Machroes,SH3126,Anheddiad,,Gwynedd,Gwynedd
Machynlleth,,Machynlleth,SH7400,Anheddiad,,Powys,Powys
Machynys,,Machynys,SS5198,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Maddox Moor,,Maddox Moor,SM9611,Anheddiad,,Sir Benfro,Pembrokeshire
Maelienydd,,Maelienydd,SO1371,Ardal,,Powys,Powys
Maenaddwyn,,Maenaddwyn,SH4584,Anheddiad,,Ynys Môn,Isle of Anglesey
Maenan,,Maenan,SH7966,Anheddiad,,Conwy,Conwy
Maenclochog,,Maenclochog,SN0827,Anheddiad,,Sir Benfro,Pembrokeshire
Maendy,,Maendy,ST3289,Anheddiad,,Casnewydd,Newport
Maendy,,Maendy,ST0176,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
"Maendy, Y",,Maindy,ST1778,Anheddiad,,Caerdydd,Cardiff
Maenlle-gwaun,,Maenlle-gwaun,SN3536,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Maenofferen,,Maenofferen,SH7045,Ardal,,Gwynedd,Gwynedd
Maenorbŷr,,Manorbier,SS0697,Anheddiad,,Sir Benfro,Pembrokeshire
Maenordeilo,,Maenordeilo,SN6626,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Maentwrog,,Maentwrog,SH6640,Anheddiad,,Gwynedd,Gwynedd
Maen-y-groes,,Maen-y-groes,SN3858,Anheddiad,,Ceredigion,Ceredigion
Maerdy,,Maerdy,SS9798,Ardal,,Rhondda Cynon Taf,Rhondda Cynon Taf
Maerdy,,Maerdy,SN6220,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Maerdy,,Maerdy,SO3015,Anheddiad,,Sir Fynwy,Monmouthshire
Maerun,,Marshfield,ST2582,Anheddiad,,Casnewydd,Newport
Maes Pennant,,Maes Pennant,SJ1679,Anheddiad,,Sir y Fflint,Flintshire
Maesgeirchen,,Maesgeirchen,SH5871,Anheddiad,,Gwynedd,Gwynedd
Maes-glas,,Greenfield,SJ1977,Anheddiad,,Sir y Fflint,Flintshire
Maes-glas,,Maes-glas,ST2985,Anheddiad,,Casnewydd,Newport
Maesglasau,,Maesglasau,SH8114,Ardal,,Gwynedd,Gwynedd
Maes-hafn,,Maes-hafn,SJ2060,Anheddiad,,Sir Ddinbych,Denbighshire
Maes-llyn,,Maes-llyn,SN3644,Anheddiad,,Ceredigion,Ceredigion
Maes-mawr,,Maes-mawr,SO0391,Ardal,,Powys,Powys
Maesmynys,,Maesmynys,SO0147,Anheddiad,,Powys,Powys
Maesteg,,Maesteg,SS8591,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Maes-y-bont,,Maes-y-bont,SN5616,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Maes-y-coed,,Maes-y-coed,ST0689,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Maes-y-coed,,Woodfieldside,ST1796,Anheddiad,,Caerffili,Caerphilly
Maesycrugiau,,Maesycrugiau,SN3652,Nodwedd o waith dyn,,Ceredigion,Ceredigion
Maesycrugiau,,Maesycrugiau,SN4741,Ardal,,Sir Gaerfyrddin,Carmarthenshire
Maesycwmwr,,Maesycwmer,ST1594,Anheddiad,,Caerffili,Caerphilly
Maes-y-dre,,Maes-y-dre,SJ2364,Anheddiad,,Sir y Fflint,Flintshire
Maes-y-dre,,Maes-y-dre,SJ3451,Anheddiad,,Wrecsam,Wrexham
Maesyfed,,New Radnor,SO2160,Anheddiad,,Powys,Powys
Maesyffynnon,,Springfield,ST1895,Anheddiad,,Caerffili,Caerphilly
Maesygwartha,,Maesygwartha,SO2314,Anheddiad,,Sir Fynwy,Monmouthshire
Maesymeillion,,Maesymeillion,SN4245,Ardal,,Ceredigion,Ceredigion
Maesyronnen,,Maesyronnen,SO1740,Nodwedd o waith dyn,,Powys,Powys
Magwyr,,Magor,ST4287,Anheddiad,,Sir Fynwy,Monmouthshire
Maiden Wells,,Maiden Wells,SR9799,Anheddiad,,Sir Benfro,Pembrokeshire
Malltraeth,,Malltraeth,SH4068,Anheddiad,,Ynys Môn,Isle of Anglesey
Mallwyd,,Mallwyd,SH8612,Anheddiad,,Gwynedd,Gwynedd
Malpas,,Malpas,ST3090,Anheddiad,,Casnewydd,Newport
Mamheilad,,Mamheilad,SO3003,Anheddiad,,Sir Fynwy,Monmouthshire
Manafon,,Manafon,SJ1102,Anheddiad,,Powys,Powys
Mancot,,Mancot,SJ3267,Anheddiad,,Sir y Fflint,Flintshire
Man-moel,,Man-moel,SO1703,Anheddiad,,Caerffili,Caerphilly
Manod,,Manod,SH7044,Anheddiad,,Gwynedd,Gwynedd
Manorbier Newton,,Manorbier Newton,SS0499,Anheddiad,,Sir Benfro,Pembrokeshire
Manorowen,,Manorowen,SM9336,Anheddiad,,Sir Benfro,Pembrokeshire
Manselfield,,Manselfield,SS5988,Anheddiad,,Abertawe,Swansea
Marchwiel,,Marchwiel,SJ3547,Anheddiad,,Wrecsam,Wrexham
Marcroes,,Marcross,SS9269,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Marford,,Marford,SJ3656,Anheddiad,,Wrecsam,Wrexham
Margam,,Margam,SS7986,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Marian,,Marian,SJ0979,Anheddiad,,Sir y Fflint,Flintshire
Marian Cwm,,Marian Cwm,SJ0777,Anheddiad,,Sir Ddinbych,Denbighshire
Marian-glas,,Marian-glas,SH5084,Anheddiad,,Ynys Môn,Isle of Anglesey
Markham,,Markham,SO1601,Anheddiad,,Caerffili,Caerphilly
Marloes,,Marloes,SM7908,Anheddiad,,Sir Benfro,Pembrokeshire
Marros,,Marros,SN2008,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Martletwy,,Martletwy,SN0310,Anheddiad,,Sir Benfro,Pembrokeshire
Maryland,,Maryland,SO5105,Anheddiad,,Sir Fynwy,Monmouthshire
Mascle Bridge,,Mascle Bridge,SM9505,,,Sir Benfro,Pembrokeshire
Mathern,,Mathern,ST5291,Anheddiad,,Sir Fynwy,Monmouthshire
Mathri,,Mathri,SM8731,Anheddiad,,Sir Benfro,Pembrokeshire
Mawdlam,,Mawdlam,SS8081,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Mawr,,Mawr,SN6405,Cymuned,,Abertawe,Swansea
May Hill,,May Hill,SO5112,Ardal,,Sir Fynwy,Monmouthshire
Mayals,,Mayals,SS6090,Anheddiad,,Abertawe,Swansea
Mayhill,,Mayhill,SS6494,Anheddiad,,Abertawe,Swansea
Maypole,,Maypole,SO4716,Anheddiad,,Sir Fynwy,Monmouthshire
Meidrim,,Meidrim,SN2820,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Meifod,,Meifod,SJ1513,Anheddiad,,Powys,Powys
Meisgyn,,Miskin,ST0598,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Melin Ifan Ddu,,Blackmill,SS9386,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Melinau,,Melinau,SN1613,Anheddiad,,Sir Benfro,Pembrokeshire
Melinbyrhedyn,,Melinbyrhedyn,SN8198,Anheddiad,,Powys,Powys
Melincaeach,,Melincaeach,ST1096,Anheddiad,,Merthyr Tudful,Merthyr Tydfil
Melincryddan,,Melincryddan,SS7496,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Melin-cwrt,,Melin-cwrt,SN8201,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Melin-wynt,,Windmill,SJ2071,Anheddiad,,Sir y Fflint,Flintshire
Melin-y-coed,,Melin-y-coed,SH8160,Anheddiad,,Conwy,Conwy
Melin-y-wern,,Melin-y-wern,SJ1260,Anheddiad,,Sir y Fflint,Flintshire
Melin-y-wig,,Melin-y-wig,SJ0348,Anheddiad,,Sir Ddinbych,Denbighshire
Melltyn,,Mellington,SO2693,Anheddiad,,Powys,Powys
Merehead,,Merehead,SJ4538,Anheddiad,,Wrecsam,Wrexham
Merlins Cross,,Merlins Cross,SM9900,Anheddiad,,Sir Benfro,Pembrokeshire
Merthyr,,Merthyr,SN3520,Ardal,,Sir Gaerfyrddin,Carmarthenshire
Merthyr Cynog,,Merthyr Cynog,SN9837,Anheddiad,,Powys,Powys
Merthyr Dyfan,,Merthyr Dyfan,ST1169,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
